,,,,USD,,,,
,,,,,,,,
Item name,What the item is for in your project,Item source,Item price (include taxes),Quantity,Total Price (include shipping + taxes),URL,,
Geared Motors w/ encoders,One for steering motor and the other for drive motor. Four Wheels.,Aliexpress,10.93,8,87.44,https://www.aliexpress.com/item/4001314473291.html?spm=a2g0o.productlist.main.4.5d6bqlgGqlgG5e&algo_pvid=f4c0d4d4-81c2-4eec-b8db-eef55d498c8a&algo_exp_id=f4c0d4d4-81c2-4eec-b8db-eef55d498c8a-3&pdp_ext_f=%7B%22order%22%3A%22121%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2113.39%2112.68%21%21%219.46%218.96%21%402103244817480433161522635e1cde%2110000015695661377%21sea%21CA%210%21ABX&curPageLogUid=SKN3sNvSntSf&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification,,
Bluetooth Dongle,Connect game controller to control robot,Amazon,2.77,1,2.77,https://www.aliexpress.com/item/1005007299146273.html?spm=a2g0o.productlist.main.2.3d8b28b2wut6Wd&algo_pvid=8fbda085-6223-4686-ac10-743af2e7ff5f&algo_exp_id=8fbda085-6223-4686-ac10-743af2e7ff5f-1&pdp_ext_f=%7B%22order%22%3A%228405%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%213.35%213.35%21%21%212.39%212.39%21%402103247017512925568455238ec511%2112000040112232780%21sea%21CA%212816579118%21X&curPageLogUid=2lmQvcYYVnrd&utparam-url=scene%3Asearch%7Cquery_from%3A,,
USB Host Shield,Connect USB to Arduino,Aliexpress,4.34,1,4.34,https://www.aliexpress.com/item/32817563853.html?spm=a2g0o.productlist.main.5.15377d3cfZBzuu&algo_pvid=5ae33bf5-a66b-474b-8416-defcb903bc04&algo_exp_id=5ae33bf5-a66b-474b-8416-defcb903bc04-4&pdp_ext_f=%7B%22order%22%3A%22233%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%215.25%215.25%21%21%213.75%213.75%21%402103244617512923800261107ef779%2164759816672%21sea%21CA%212816579118%21X&curPageLogUid=A0QtDAwfSdkr&utparam-url=scene%3Asearch%7Cquery_from%3A,Reference -->,https://www.amazon.ca/HiLetgo-Development-Compatible-Interface-Arduino/dp/B01EWW9R1E/ref=sr_1_5?crid=2DSKFWQRSKE5R&dib=eyJ2IjoiMSJ9._fAAWEsmS0NSFz8VveMN8MG0gXmdCypovSkrKNIlX4oplc6RZM-1_A9isHfuOfiwYsNFDkdJ7LtICgyue8zisjvU-yT-2CSewMVcmMA37LSap3AZMEeh7NVqAFbCsLx_TK5cd6Y3tYeXX8mjjsD3hinadhHeQukY2LrEpChYLGoqgrBnp_UF-XQr0bK35qMK8L9d5aFdNdz3uavwsnMYZxmhnTR6EIYyjVTGBphpYAm03MR06glaOwtoWyl07JhFxb-zBZ0cANcyvGSzsn1vJ9AriC1RLvOJtCJt_5ByRoY.RUVyv4s3uRXGBUitmvVtryHMqoD0yrB1n4xDwkcpDz4&dib_tag=se&keywords=usb+host+shield+mini&qid=1751290095&sprefix=usb+host+shield+mini%2Caps%2C99&sr=8-5#averageCustomerReviewsAnchor
IC Socket,Place for L293D to be placed so they can be resuable,Aliexpress,2.92,1,2.92,https://www.aliexpress.com/item/32863286734.html?spm=a2g0o.productlist.main.5.c07bsufZsufZKd&algo_pvid=0fdc927b-88a5-48da-8325-81aea28bb37c&algo_exp_id=0fdc927b-88a5-48da-8325-81aea28bb37c-4&pdp_ext_f=%7B%22order%22%3A%22232%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%213.85%213.85%21%21%212.75%212.75%21%402101d9ef17512918647612410e8d94%2112000042821771892%21sea%21CA%212816579118%21X&curPageLogUid=voO1uyA2F2wW&utparam-url=scene%3Asearch%7Cquery_from%3A,,
M4 - 45 Hex Head Bolts,To transfer power (check CAD),Aliexpress,2.81,1,2.81,https://www.aliexpress.com/item/32968601031.html?spm=a2g0o.productlist.main.11.43ef67d277QGUW&algo_pvid=cf1666da-3790-46cb-afbe-c5f1b8508f58&algo_exp_id=cf1666da-3790-46cb-afbe-c5f1b8508f58-10&pdp_ext_f=%7B%22order%22%3A%221050%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.18%212.18%21%21%211.56%211.56%21%40210337bc17510544148774949e0591%2112000031474418450%21sea%21CA%212816579118%21X&curPageLogUid=MEbdD7y00f5e&utparam-url=scene%3Asearch%7Cquery_from%3A,,
Bearings,For rotation of each module,Aliexpress,13.29,2,26.58,https://www.aliexpress.com/item/1005007420073930.html?spm=a2g0o.productlist.main.2.3097XRVRXRVR25&algo_pvid=af1e789e-a32b-4537-8b44-7033cdf5e353&algo_exp_id=af1e789e-a32b-4537-8b44-7033cdf5e353-1&pdp_ext_f=%7B%22order%22%3A%22839%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%214.35%213.64%21%21%2122.11%2118.50%21%40210313e917480435939031250e042b%2112000040678203625%21sea%21CA%210%21ABX&curPageLogUid=riE4x4uFTUQ6&utparam-url=scene%3Asearch%7Cquery_from%3A,,
Arduino Mega,Need more ports,Amazon,23.1,1,23.1,https://www.amazon.ca/ELEGOO-Compatible-Arduino-Projects-Compliant/dp/B01H4ZLZLQ/ref=sr_1_4?crid=26UNUZ419I2JA&dib=eyJ2IjoiMSJ9.0iIkP2CJBeZTdPAoZHPplQTCP-pkKG7MTatr4XPtZnx7nad4huf6G4s2Rc3ZEjEFB__mVh9ySq0MM05N0tR8ooyOJxGq-Wh9OhDisT-3BJeOfmKj6KUMNLL5JL0I4gSBlZn3fcf7FYu4cgVsS2aFZNtjCVCGjm_8pneyqXBn5qqFyOewb46Pw5sgtVyc8ssvMcbWt4V9TGZCXVvmYdr10w8X164xthd8fFkeYEO01uLnIXEKd3t4pidIKXn8Ke7m8QRJvxQq_Oh4OOh-OhH6qCXlF1F9rhJusf0HoSnqY2g.jTOAyb3O3pvH0GFrrF8T-6-7PzTltqonNt4ieb-0xjg&dib_tag=se&keywords=arduino%2Bmega&qid=1751142685&s=industrial&sprefix=arduino%2Bmega%2Cindustrial%2C125&sr=1-4&th=1,,
,,,,,,,,
,,,,,149.96,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Already Have,,,,,,,,
,,,,,,,,
Lipo Battery,Power Robot,Amazon,,,,,,
L293D,Motor Driver,Amazon,,,,,,
M3 - 8mm Bolts,,Aliexpress,2.36,1,2.36,https://www.aliexpress.com/item/32810872544.html?spm=a2g0o.productlist.main.1.54333835xzJnnA&algo_pvid=45ff9353-ced8-41f9-b092-e8968109dd0c&algo_exp_id=45ff9353-ced8-41f9-b092-e8968109dd0c-0&pdp_ext_f=%7B%22order%22%3A%2217381%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.05%212.05%21%21%211.47%211.47%21%402103247017510540605297994ec51a%2112000037536050510%21sea%21CA%212816579118%21X&curPageLogUid=oOIFvvG6w4lK&utparam-url=scene%3Asearch%7Cquery_from%3A,,
